Hiber-loss	LSTM-Loss	
 2.3953e+00	 3.1447e-01	
 2.3971e+00	 3.2173e-01	
 2.3969e+00	 3.1788e-01	
 2.3970e+00	 3.2044e-01	
 2.3964e+00	 3.1062e-01	
 2.3964e+00	 3.1172e-01	
 2.3963e+00	 3.1072e-01	
 2.3966e+00	 3.1613e-01	
 2.3965e+00	 3.1510e-01	
 2.3968e+00	 3.1790e-01	
 2.3974e+00	 3.2639e-01	
 2.3972e+00	 3.2355e-01	
 2.3965e+00	 3.1236e-01	
 2.3969e+00	 3.1896e-01	
 2.3968e+00	 3.1842e-01	
 2.3966e+00	 3.1481e-01	
 2.3965e+00	 3.1248e-01	
 2.3966e+00	 3.1517e-01	
 2.3968e+00	 3.1727e-01	
 2.3974e+00	 3.2643e-01	
 2.3969e+00	 3.1870e-01	
 2.3968e+00	 3.1807e-01	
 2.3972e+00	 3.2342e-01	
 2.3969e+00	 3.1931e-01	
 2.3965e+00	 3.1358e-01	
 2.3970e+00	 3.2053e-01	
 2.3970e+00	 3.1928e-01	
 2.3971e+00	 3.2145e-01	
 2.3970e+00	 3.2151e-01	
 2.3968e+00	 3.1674e-01	
 2.3965e+00	 3.1419e-01	
 2.3971e+00	 3.2307e-01	
 2.3965e+00	 3.1285e-01	
 2.3962e+00	 3.0853e-01	
 2.3970e+00	 3.2112e-01	
 2.3970e+00	 3.2049e-01	
 2.3968e+00	 3.1777e-01	
 2.3973e+00	 3.2629e-01	
 2.3961e+00	 3.0979e-01	
 2.3971e+00	 3.2292e-01	
 2.3969e+00	 3.1816e-01	
 2.3969e+00	 3.1812e-01	
 2.3968e+00	 3.1789e-01	
 2.3970e+00	 3.2080e-01	
 2.3968e+00	 3.1806e-01	
 2.3968e+00	 3.1927e-01	
 2.3968e+00	 3.1810e-01	
 2.3964e+00	 3.1164e-01	
 2.3969e+00	 3.2008e-01	
 2.3968e+00	 3.1902e-01	
 2.3968e+00	 3.1931e-01	
 2.3963e+00	 3.1101e-01	
 2.3970e+00	 3.2263e-01	
 2.3969e+00	 3.2127e-01	
 2.3966e+00	 3.1516e-01	
 2.3964e+00	 3.1369e-01	
 2.3966e+00	 3.1702e-01	
 2.3972e+00	 3.2441e-01	
 2.3965e+00	 3.1368e-01	
 2.3964e+00	 3.1415e-01	
 2.3973e+00	 3.2645e-01	
 2.3968e+00	 3.1829e-01	
 2.3966e+00	 3.1588e-01	
 2.3971e+00	 3.2336e-01	
 2.3969e+00	 3.2079e-01	
 2.3970e+00	 3.2253e-01	
 2.3968e+00	 3.1907e-01	
 2.3970e+00	 3.2188e-01	
 2.3966e+00	 3.1700e-01	
 2.3966e+00	 3.1610e-01	
 2.3964e+00	 3.1344e-01	
 2.3968e+00	 3.2081e-01	
 2.3964e+00	 3.1471e-01	
 2.3966e+00	 3.1708e-01	
 2.3966e+00	 3.1763e-01	
 2.3969e+00	 3.2284e-01	
 2.3972e+00	 3.2671e-01	
 2.3964e+00	 3.1499e-01	
 2.3963e+00	 3.1439e-01	
 2.3968e+00	 3.2132e-01	
 2.3966e+00	 3.1819e-01	
 2.3965e+00	 3.1780e-01	
 2.3969e+00	 3.2284e-01	
 2.3970e+00	 3.2485e-01	
 2.3973e+00	 3.3012e-01	
 2.3967e+00	 3.2234e-01	
 2.3968e+00	 3.2274e-01	
 2.3966e+00	 3.1993e-01	
 2.3968e+00	 3.2313e-01	
 2.3963e+00	 3.1706e-01	
 2.3968e+00	 3.2429e-01	
 2.3969e+00	 3.2409e-01	
 2.3968e+00	 3.2403e-01	
 2.3971e+00	 3.2889e-01	
 2.3973e+00	 3.3090e-01	
 2.3968e+00	 3.2483e-01	
 2.3967e+00	 3.2298e-01	
 2.3967e+00	 3.2365e-01	
 2.3972e+00	 3.3029e-01	
 2.3968e+00	 3.2478e-01	
 2.3968e+00	 3.2525e-01	
 2.3962e+00	 3.1956e-01	
 2.3965e+00	 3.2218e-01	
 2.3965e+00	 3.2170e-01	
 2.3968e+00	 3.2706e-01	
 2.3966e+00	 3.2612e-01	
 2.3966e+00	 3.2537e-01	
 2.3970e+00	 3.2955e-01	
 2.3969e+00	 3.2828e-01	
 2.3960e+00	 3.1793e-01	
 2.3965e+00	 3.2446e-01	
 2.3963e+00	 3.2386e-01	
 2.3968e+00	 3.2990e-01	
 2.3966e+00	 3.2627e-01	
 2.3968e+00	 3.2938e-01	
 2.3966e+00	 3.2747e-01	
 2.3965e+00	 3.2601e-01	
 2.3971e+00	 3.3474e-01	
 2.3967e+00	 3.3028e-01	
 2.3967e+00	 3.3075e-01	
 2.3963e+00	 3.2676e-01	
 2.3970e+00	 3.3623e-01	
 2.3972e+00	 3.3877e-01	
 2.3964e+00	 3.2776e-01	
 2.3965e+00	 3.3081e-01	
 2.3962e+00	 3.2675e-01	
 2.3961e+00	 3.2686e-01	
 2.3963e+00	 3.2942e-01	
 2.3962e+00	 3.2861e-01	
 2.3966e+00	 3.3287e-01	
 2.3974e+00	 3.4240e-01	
 2.3966e+00	 3.3483e-01	
 2.3966e+00	 3.3486e-01	
 2.3966e+00	 3.3596e-01	
 2.3970e+00	 3.3999e-01	
 2.3968e+00	 3.3983e-01	
 2.3967e+00	 3.3715e-01	
 2.3975e+00	 3.4712e-01	
 2.3963e+00	 3.3448e-01	
 2.3965e+00	 3.3728e-01	
 2.3964e+00	 3.3643e-01	
 2.3968e+00	 3.4186e-01	
 2.3968e+00	 3.4272e-01	
 2.3966e+00	 3.4163e-01	
 2.3973e+00	 3.5039e-01	
 2.3969e+00	 3.4559e-01	
 2.3973e+00	 3.5012e-01	
 2.3959e+00	 3.3518e-01	
 2.3968e+00	 3.4697e-01	
 2.3966e+00	 3.4470e-01	
 2.3965e+00	 3.4390e-01	
 2.3968e+00	 3.4889e-01	
 2.3956e+00	 3.3399e-01	
 2.3964e+00	 3.4605e-01	
 2.3967e+00	 3.4955e-01	
 2.3971e+00	 3.5482e-01	
 2.3963e+00	 3.4695e-01	
